,precision,recall,f1-score,support
ham,0.9845837615621789,0.9917184265010351,0.9881382155750387,966.0
spam,0.9436619718309859,0.8993288590604027,0.9209621993127147,149.0
accuracy,0.979372197309417,0.979372197309417,0.979372197309417,0.979372197309417
macro avg,0.9641228666965824,0.945523642780719,0.9545502074438768,1115.0
weighted avg,0.9791152892124498,0.979372197309417,0.9791613308906565,1115.0
