,precision,recall,f1-score,support
ham,0.9775510204081632,0.9917184265010351,0.9845837615621789,966.0
spam,0.9407407407407408,0.8523489932885906,0.8943661971830986,149.0
accuracy,0.9730941704035875,0.9730941704035875,0.9730941704035875,0.9730941704035875
macro avg,0.9591458805744519,0.9220337098948128,0.9394749793726387,1115.0
weighted avg,0.972631978551261,0.9730941704035875,0.9725277821070372,1115.0
