,precision,recall,f1-score,support
ham,0.968944099378882,0.968944099378882,0.968944099378882,966.0
spam,0.7986577181208053,0.7986577181208053,0.7986577181208053,149.0
accuracy,0.9461883408071748,0.9461883408071748,0.9461883408071748,0.9461883408071748
macro avg,0.8838009087498437,0.8838009087498437,0.8838009087498437,1115.0
weighted avg,0.9461883408071748,0.9461883408071748,0.9461883408071748,1115.0
